Type,Questions,Answer,Code,Dataset_Name,Date_Generated
General Question,"What is the minimum IMDB_SCORE, where CONTENT is 'PG-13'?",1.98,"temp <- df[df$content == 'PG-13', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where BUDGET is not 'High'?",10.22,"temp <- df[df$Budget != 'High', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where CONTENT is 'G' and GROSS is not 'High'?",6.45,"temp <- df[df$content == 'G' & df$Gross != 'High', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where GENRE is 'Sci-Fi'?",6.34,"temp <- df[df$genre == 'Sci-Fi', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where COUNTRY is 'Russia'?",6.28,"temp <- df[df$country == 'Russia', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where CONTENT is 'R'?",6.8,"temp <- df[df$content == 'R', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GROSS is not 'Medium'?",1.07,"temp <- df[df$Gross != 'Medium', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where COUNTRY is 'UK'?",9.39,"temp <- df[df$country == 'UK', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GROSS is not 'Low' and CONTENT is not 'G'?",1.53,"temp <- df[df$Gross != 'Low' & df$content != 'G', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where COUNTRY is 'Mexico'?",9.17,"temp <- df[df$country == 'Mexico', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where CONTENT is 'PG'?",6.3,"temp <- df[df$content == 'PG', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where COUNTRY is 'Norway'?",7.03,"temp <- df[df$country == 'Norway', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where GROSS is 'Medium' and CONTENT is not 'G'?",9.68,"temp <- df[df$Gross == 'Medium' & df$content != 'G', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where CONTENT is not 'PG'?",1.61,"temp <- df[df$content != 'PG', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where CONTENT is not 'PG-13'?",1.07,"temp <- df[df$content != 'PG-13', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where CONTENT is not 'PG-13'?",10.22,"temp <- df[df$content != 'PG-13', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where GROSS is 'Low' and BUDGET is not 'Low'?",8.6,"temp <- df[df$Gross == 'Low' & df$Budget != 'Low', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GENRE is not 'Drama' and GROSS is 'Low'?",1.07,"temp <- df[df$genre != 'Drama' & df$Gross == 'Low', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where CONTENT is not 'R'?",6.31,"temp <- df[df$content != 'R', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where GENRE is 'Comedy'?",6.43,"temp <- df[df$genre == 'Comedy', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where GENRE is not 'Comedy' and BUDGET is 'High'?",9.13,"temp <- df[df$genre != 'Comedy' & df$Budget == 'High', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where GROSS is 'High'?",6.55,"temp <- df[df$Gross == 'High', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where BUDGET is 'High'?",9.13,"temp <- df[df$Budget == 'High', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where GENRE is not 'Family'?",6.66,"temp <- df[df$genre != 'Family', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where CONTENT is 'PG'?",9.66,"temp <- df[df$content == 'PG', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where CONTENT is not 'R' and GROSS is 'High'?",9.27,"temp <- df[df$content != 'R' & df$Gross == 'High', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where COUNTRY is 'Poland'?",8.39,"temp <- df[df$country == 'Poland', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where GROSS is not 'High' and GENRE is not 'Drama'?",9.79,"temp <- df[df$Gross != 'High' & df$genre != 'Drama', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where COUNTRY is not 'China' and BUDGET is 'High'?",9.13,"temp <- df[df$country != 'China' & df$Budget == 'High', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where BUDGET is not 'Medium' and COUNTRY is 'Denmark'?",7.82,"temp <- df[df$Budget != 'Medium' & df$country == 'Denmark', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where BUDGET is not 'Low' and GENRE is 'Action'?",2.53,"temp <- df[df$Budget != 'Low' & df$genre == 'Action', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where BUDGET is not 'Medium' and COUNTRY is 'Indonesia'?",8.66,"temp <- df[df$Budget != 'Medium' & df$country == 'Indonesia', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GROSS is 'Low' and COUNTRY is not 'Georgia'?",1.07,"temp <- df[df$Gross == 'Low' & df$country != 'Georgia', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where COUNTRY is 'Belgium'?",5.81,"temp <- df[df$country == 'Belgium', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GENRE is 'Family'?",1.07,"temp <- df[df$genre == 'Family', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where CONTENT is not 'PG' and GROSS is 'High'?",10.22,"temp <- df[df$content != 'PG' & df$Gross == 'High', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where BUDGET is 'Medium'?",6.44,"temp <- df[df$Budget == 'Medium', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where BUDGET is not 'Low'?",6.33,"temp <- df[df$Budget != 'Low', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where COUNTRY is not 'Romania'?",1.07,"temp <- df[df$country != 'Romania', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where GROSS is 'Medium'?",9.68,"temp <- df[df$Gross == 'Medium', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where COUNTRY is not 'Czech Republic' and GENRE is 'Comedy'?",9.3,"temp <- df[df$country != 'Czech Republic' & df$genre == 'Comedy', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where BUDGET is 'Medium'?",9.42,"temp <- df[df$Budget == 'Medium', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where COUNTRY is not 'Dominican Republic' and BUDGET is not 'Medium'?",6.61,"temp <- df[df$country != 'Dominican Republic' & df$Budget != 'Medium', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GROSS is not 'Medium' and GENRE is not 'Action'?",1.07,"temp <- df[df$Gross != 'Medium' & df$genre != 'Action', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where CONTENT is not 'PG'?",6.58,"temp <- df[df$content != 'PG', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where CONTENT is not 'G'?",10.22,"temp <- df[df$content != 'G', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GROSS is not 'High' and BUDGET is 'Low'?",1.92,"temp <- df[df$Gross != 'High' & df$Budget == 'Low', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GROSS is not 'Low'?",1.53,"temp <- df[df$Gross != 'Low', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where GROSS is not 'Low'?",6.43,"temp <- df[df$Gross != 'Low', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GENRE is 'Action'?",2.22,"temp <- df[df$genre == 'Action', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where GENRE is not 'Action'?",6.54,"temp <- df[df$genre != 'Action', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where BUDGET is not 'Low' and GROSS is 'Low'?",8.6,"temp <- df[df$Budget != 'Low' & df$Gross == 'Low', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where CONTENT is 'PG'?",1.07,"temp <- df[df$content == 'PG', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where GENRE is 'Drama'?",6.36,"temp <- df[df$genre == 'Drama', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where BUDGET is 'Medium' and COUNTRY is not 'Taiwan'?",6.44,"temp <- df[df$Budget == 'Medium' & df$country != 'Taiwan', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where COUNTRY is not 'Sweden'?",10.22,"temp <- df[df$country != 'Sweden', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where GROSS is 'Low'?",6.73,"temp <- df[df$Gross == 'Low', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where GROSS is 'Low'?",9.79,"temp <- df[df$Gross == 'Low', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where BUDGET is not 'Medium'?",10.22,"temp <- df[df$Budget != 'Medium', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where BUDGET is 'High' and GENRE is not 'History'?",9.13,"temp <- df[df$Budget == 'High' & df$genre != 'History', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where GENRE is 'Comedy'?",9.3,"temp <- df[df$genre == 'Comedy', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where BUDGET is 'Low'?",10.22,"temp <- df[df$Budget == 'Low', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GENRE is not 'Family'?",1.61,"temp <- df[df$genre != 'Family', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where COUNTRY is 'Indonesia'?",8.02,"temp <- df[df$country == 'Indonesia', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where GENRE is not 'Comedy'?",10.22,"temp <- df[df$genre != 'Comedy', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where CONTENT is not 'G' and GENRE is not 'Action'?",1.07,"temp <- df[df$content != 'G' & df$genre != 'Action', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GENRE is 'History'?",1.67,"temp <- df[df$genre == 'History', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where BUDGET is not 'Low'?",1.07,"temp <- df[df$Budget != 'Low', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GENRE is not 'Action'?",1.07,"temp <- df[df$genre != 'Action', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GROSS is not 'Medium' and CONTENT is not 'R'?",1.07,"temp <- df[df$Gross != 'Medium' & df$content != 'R', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where GROSS is not 'High'?",9.79,"temp <- df[df$Gross != 'High', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where COUNTRY is not 'Libya' and BUDGET is 'High'?",6.14,"temp <- df[df$country != 'Libya' & df$Budget == 'High', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where CONTENT is 'R' and GROSS is 'Medium'?",2.38,"temp <- df[df$content == 'R' & df$Gross == 'Medium', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where BUDGET is 'Low'?",1.92,"temp <- df[df$Budget == 'Low', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where CONTENT is 'R' and GENRE is 'Drama'?",6.41,"temp <- df[df$content == 'R' & df$genre == 'Drama', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where GENRE is not 'History'?",6.32,"temp <- df[df$genre != 'History', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where BUDGET is not 'High' and CONTENT is 'G'?",9.66,"temp <- df[df$Budget != 'High' & df$content == 'G', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where GROSS is not 'Medium'?",6.65,"temp <- df[df$Gross != 'Medium', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where BUDGET is 'Low'?",7.09,"temp <- df[df$Budget == 'Low', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where CONTENT is not 'PG'?",10.22,"temp <- df[df$content != 'PG', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where CONTENT is not 'G'?",1.07,"temp <- df[df$content != 'G', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GROSS is 'High' and GENRE is not 'Sci-Fi'?",1.61,"temp <- df[df$Gross == 'High' & df$genre != 'Sci-Fi', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where GENRE is not 'Drama' and BUDGET is not 'Low'?",9.42,"temp <- df[df$genre != 'Drama' & df$Budget != 'Low', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where BUDGET is not 'High' and GROSS is 'High'?",6.92,"temp <- df[df$Budget != 'High' & df$Gross == 'High', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where GENRE is not 'Drama'?",6.56,"temp <- df[df$genre != 'Drama', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where BUDGET is 'High' and GENRE is not 'Family'?",6.58,"temp <- df[df$Budget == 'High' & df$genre != 'Family', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where GROSS is not 'High' and GENRE is 'Family'?",8.16,"temp <- df[df$Gross != 'High' & df$genre == 'Family', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where COUNTRY is 'Aruba'?",4.94,"temp <- df[df$country == 'Aruba', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where COUNTRY is 'India'?",8.71,"temp <- df[df$country == 'India', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where CONTENT is 'G'?",9.66,"temp <- df[df$content == 'G', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where GENRE is not 'Family' and CONTENT is not 'R'?",6.47,"temp <- df[df$genre != 'Family' & df$content != 'R', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where COUNTRY is not 'Thailand'?",1.07,"temp <- df[df$country != 'Thailand', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where COUNTRY is 'Hong Kong'?",6.99,"temp <- df[df$country == 'Hong Kong', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where COUNTRY is 'Bahamas'?",5.38,"temp <- df[df$country == 'Bahamas', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where COUNTRY is not 'Panama'?",1.07,"temp <- df[df$country != 'Panama', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where COUNTRY is not 'India'?",1.07,"temp <- df[df$country != 'India', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GROSS is 'Medium'?",1.53,"temp <- df[df$Gross == 'Medium', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where GROSS is 'Low' and CONTENT is not 'PG-13'?",1.07,"temp <- df[df$Gross == 'Low' & df$content != 'PG-13', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where BUDGET is not 'Medium' and GENRE is not 'History'?",6.2,"temp <- df[df$Budget != 'Medium' & df$genre != 'History', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where GENRE is not 'Drama' and CONTENT is not 'R'?",6.32,"temp <- df[df$genre != 'Drama' & df$content != 'R', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the minimum IMDB_SCORE, where BUDGET is not 'Medium' and GENRE is 'Comedy'?",2.6,"temp <- df[df$Budget != 'Medium' & df$genre == 'Comedy', ]; round(min(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where COUNTRY is not 'Mexico'?",10.22,"temp <- df[df$country != 'Mexico', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where COUNTRY is not 'Taiwan'?",6.53,"temp <- df[df$country != 'Taiwan', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the maximum IMDB_SCORE, where GENRE is not 'Drama'?",10.22,"temp <- df[df$genre != 'Drama', ]; round(max(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
General Question,"What is the mean IMDB_SCORE, where COUNTRY is not 'Spain'?",6.53,"temp <- df[df$country != 'Spain', ]; round(mean(temp$imdb_score), 2);",MOVIE DATASET,2024-04-07
